1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.072600	0.000000	61.825303	0.009476	591.9
1	-1.180678	0.000000	61.825303	0.030908	3.4
2	-1.069696	1.000000	59.015062	0.059091	2.9
3	-1.111682	2.000000	56.449190	0.068790	3.3
4	-1.042643	3.000000	54.097140	0.061720	2.9
5	-1.060874	4.000000	51.933255	0.052569	2.7
6	-1.071443	5.000000	49.935822	0.063228	3.2
7	-1.049819	6.000000	48.086347	0.061362	2.7
8	-1.082889	7.000000	46.368977	0.054665	3.1
9	-1.084607	8.000000	44.770047	0.061751	2.9
10	-1.112084	9.000000	43.277712	0.064692	2.8
11	-1.074603	10.000000	41.881657	0.055218	3.1
12	-1.079716	11.000000	40.572855	0.050084	3.0
13	-1.109765	12.000000	39.343375	0.052247	3.1
14	-1.127101	13.000000	38.186217	0.044959	2.9
15	-1.121217	14.000000	37.095182	0.044549	3.0
16	-1.109403	15.000000	36.064760	0.048213	3.0
17	-1.124801	16.000000	35.090037	0.040103	3.1
18	-1.177160	17.000000	34.166615	0.039037	3.0
19	-1.107403	18.000000	33.290548	0.047260	2.8
20	-1.135893	19.000000	32.458284	0.040508	2.9
21	-1.103191	20.000000	31.666619	0.025674	3.1
22	-1.130164	21.000000	30.912652	0.023539	2.9
23	-1.148518	22.000000	30.193753	0.031256	3.2
24	-1.131565	23.000000	29.507531	0.030226	3.0
25	-1.135025	24.000000	28.851808	0.022281	2.9
26	-1.149941	25.000000	28.224595	0.015660	3.0
27	-1.134300	26.000000	27.624072	0.022169	2.9
28	-1.169655	27.000000	27.048570	0.016552	2.9
29	-1.123863	28.000000	26.496559	0.010765	2.9
30	-1.136092	29.000000	25.966627	0.009466	3.0
31	-1.132036	30.000000	25.457478	0.010993	2.8
32	-1.120712	31.000000	24.967911	0.008068	2.9
33	-1.113752	31.999998	24.496819	0.012834	2.8
34	-1.163892	32.999998	24.043174	0.028324	2.8
35	-1.108197	33.999998	23.606026	0.033439	2.9
36	-1.109068	34.999998	23.184489	0.027495	2.8
37	-1.195388	35.999998	22.777744	0.024388	2.7
38	-1.130589	36.999998	22.385024	0.028349	2.9
39	-1.123764	37.999998	22.005617	0.022023	2.9
40	-1.104653	38.999998	21.638857	0.019445	2.6
41	-1.140916	39.999998	21.284121	0.019403	2.7
42	-1.157755	40.999998	20.940829	0.015047	2.7
43	-1.144153	41.999998	20.608435	0.011936	2.7
44	-1.092722	42.999998	20.286428	0.005679	2.9
45	-1.138016	43.999979	19.974335	0.007188	2.6
46	-1.114424	44.915373	19.696943	0.010687	3.0
47	-1.126886	44.861485	19.713059	0.017444	2.9
48	-1.141355	45.861485	19.418225	0.016356	2.8
49	-1.133065	46.861485	19.132080	0.012536	2.9
50	-1.117588	47.861485	18.854246	0.013426	3.1
51	-1.149683	48.861485	18.584365	0.011125	2.8
52	-1.196025	49.861485	18.322102	0.011356	2.7
53	-1.202044	50.861196	18.067211	0.010697	2.6
54	-1.162614	50.843179	18.071742	0.005342	3.2
55	-1.180687	51.842827	17.823737	0.008342	3.1
56	-1.129938	51.882888	17.813940	0.007610	2.7
57	-1.127877	52.882874	17.572832	0.008173	2.6
58	-1.103405	53.882760	17.338188	0.007338	2.9
59	-1.146374	53.839174	17.348286	0.007206	2.7
60	-1.125268	53.788800	17.359971	0.010059	2.7
61	-1.142370	53.734991	17.372470	0.008851	2.8
62	-1.124630	54.605128	17.172530	0.011286	2.8
63	-1.165383	54.550310	17.184991	0.010112	3.2
64	-1.095351	55.546702	16.961297	0.010212	2.9
65	-1.121028	56.546657	16.742583	0.010173	2.7
66	-1.145056	56.492043	16.754383	0.016929	2.9
67	-1.148633	57.492043	16.540930	0.013543	2.7
68	-1.136574	58.492043	16.332847	0.007445	3.1
69	-1.137918	59.491636	16.130016	0.008723	3.1
70	-1.115758	60.491402	15.932127	0.006207	2.9
71	-1.130355	60.750878	15.881559	0.008145	2.8
72	-1.144594	60.813101	15.869480	0.013635	3.0
73	-1.131456	61.809896	15.678457	0.015710	3.1
74	-1.141297	62.809896	15.491385	0.008938	2.7
75	-1.112304	63.809896	15.308725	0.009817	2.7
76	-1.133578	63.755051	15.318631	0.008110	2.8
77	-1.121347	63.700220	15.328548	0.015699	2.7
78	-1.084303	64.700220	15.149685	0.007756	2.9
79	-1.143356	65.700220	14.974949	0.013376	3.3
80	-1.161679	66.576418	14.825125	0.005944	2.9
81	-1.162917	67.576409	14.657756	0.008250	2.8
82	-1.103670	68.568686	14.495371	0.006311	2.8
83	-1.116026	68.594249	14.491236	0.006884	2.9
84	-1.126753	68.540610	14.499916	0.008283	2.8
85	-1.148093	68.541366	14.499794	0.013854	3.0
86	-1.176945	69.541366	14.339649	0.012028	3.0
